employee_id,predicted_probability,predicted_enrollment,risk_category,recommended_action
12032,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
12591,1.0,1,Low Risk,Standard enrollment notification
10336,0.12,0,High Risk,Personalized phone call with HR and benefits explanation
18897,1.0,1,Low Risk,Standard enrollment notification
16874,1.0,1,Low Risk,Standard enrollment notification
14722,0.98,1,Low Risk,Standard enrollment notification
17251,1.0,1,Low Risk,Standard enrollment notification
16014,0.99,1,Low Risk,Standard enrollment notification
18916,0.99,1,Low Risk,Standard enrollment notification
16081,0.96,1,Low Risk,Standard enrollment notification
14299,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
10543,0.97,1,Low Risk,Standard enrollment notification
12021,1.0,1,Low Risk,Standard enrollment notification
12956,0.96,1,Low Risk,Standard enrollment notification
13627,0.99,1,Low Risk,Standard enrollment notification
13919,0.96,1,Low Risk,Standard enrollment notification
14407,1.0,1,Low Risk,Standard enrollment notification
19292,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
14204,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
17299,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
14499,0.1,0,High Risk,Personalized phone call with HR and benefits explanation
19038,0.98,1,Low Risk,Standard enrollment notification
18911,0.77,1,Low Risk,Standard enrollment notification
18990,0.96,1,Low Risk,Standard enrollment notification
19701,0.11,0,High Risk,Personalized phone call with HR and benefits explanation
13124,0.13,0,High Risk,Personalized phone call with HR and benefits explanation
16707,0.09,0,High Risk,Personalized phone call with HR and benefits explanation
11638,0.99,1,Low Risk,Standard enrollment notification
16838,0.93,1,Low Risk,Standard enrollment notification
14155,1.0,1,Low Risk,Standard enrollment notification
12982,0.89,1,Low Risk,Standard enrollment notification
14101,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
10182,0.11,0,High Risk,Personalized phone call with HR and benefits explanation
11838,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
10101,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
19490,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
15373,1.0,1,Low Risk,Standard enrollment notification
10718,0.99,1,Low Risk,Standard enrollment notification
17651,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
11971,1.0,1,Low Risk,Standard enrollment notification
12802,0.97,1,Low Risk,Standard enrollment notification
18148,0.91,1,Low Risk,Standard enrollment notification
18867,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
11898,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
18105,0.95,1,Low Risk,Standard enrollment notification
16856,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
15107,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
12831,1.0,1,Low Risk,Standard enrollment notification
14116,0.1,0,High Risk,Personalized phone call with HR and benefits explanation
16358,0.99,1,Low Risk,Standard enrollment notification
11720,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
16019,1.0,1,Low Risk,Standard enrollment notification
16133,1.0,1,Low Risk,Standard enrollment notification
13554,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
15224,0.97,1,Low Risk,Standard enrollment notification
15031,0.99,1,Low Risk,Standard enrollment notification
11330,1.0,1,Low Risk,Standard enrollment notification
18100,1.0,1,Low Risk,Standard enrollment notification
12548,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
13264,0.97,1,Low Risk,Standard enrollment notification
11832,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
15010,0.98,1,Low Risk,Standard enrollment notification
17216,0.99,1,Low Risk,Standard enrollment notification
13208,1.0,1,Low Risk,Standard enrollment notification
18078,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
11056,0.82,1,Low Risk,Standard enrollment notification
14557,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
17066,0.96,1,Low Risk,Standard enrollment notification
17232,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
16551,1.0,1,Low Risk,Standard enrollment notification
11110,0.97,1,Low Risk,Standard enrollment notification
12889,1.0,1,Low Risk,Standard enrollment notification
11112,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
16972,0.98,1,Low Risk,Standard enrollment notification
13250,0.09,0,High Risk,Personalized phone call with HR and benefits explanation
18672,0.97,1,Low Risk,Standard enrollment notification
17860,1.0,1,Low Risk,Standard enrollment notification
12012,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
15642,0.96,1,Low Risk,Standard enrollment notification
19152,0.98,1,Low Risk,Standard enrollment notification
16221,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
14240,1.0,1,Low Risk,Standard enrollment notification
13440,0.95,1,Low Risk,Standard enrollment notification
14545,0.99,1,Low Risk,Standard enrollment notification
17542,0.69,1,Low Risk,Standard enrollment notification
12709,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
12106,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
16893,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
13835,1.0,1,Low Risk,Standard enrollment notification
18616,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
18567,1.0,1,Low Risk,Standard enrollment notification
16880,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
16860,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
10122,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
15616,0.98,1,Low Risk,Standard enrollment notification
15201,0.98,1,Low Risk,Standard enrollment notification
18712,1.0,1,Low Risk,Standard enrollment notification
10288,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
19563,1.0,1,Low Risk,Standard enrollment notification
10943,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
13480,1.0,1,Low Risk,Standard enrollment notification
18638,0.95,1,Low Risk,Standard enrollment notification
15032,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
19319,0.99,1,Low Risk,Standard enrollment notification
16662,1.0,1,Low Risk,Standard enrollment notification
12404,1.0,1,Low Risk,Standard enrollment notification
17661,0.25,0,High Risk,Personalized phone call with HR and benefits explanation
12396,0.99,1,Low Risk,Standard enrollment notification
16229,0.92,1,Low Risk,Standard enrollment notification
19706,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
17487,0.98,1,Low Risk,Standard enrollment notification
11193,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
18334,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
10016,0.95,1,Low Risk,Standard enrollment notification
11281,1.0,1,Low Risk,Standard enrollment notification
13573,0.23,0,High Risk,Personalized phone call with HR and benefits explanation
14096,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
19641,1.0,1,Low Risk,Standard enrollment notification
17948,1.0,1,Low Risk,Standard enrollment notification
18320,0.97,1,Low Risk,Standard enrollment notification
15439,0.99,1,Low Risk,Standard enrollment notification
12817,0.96,1,Low Risk,Standard enrollment notification
10563,1.0,1,Low Risk,Standard enrollment notification
13567,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
10557,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
12987,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
12302,0.14,0,High Risk,Personalized phone call with HR and benefits explanation
12442,0.91,1,Low Risk,Standard enrollment notification
11764,0.97,1,Low Risk,Standard enrollment notification
18372,1.0,1,Low Risk,Standard enrollment notification
15859,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
17227,1.0,1,Low Risk,Standard enrollment notification
15944,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
17993,1.0,1,Low Risk,Standard enrollment notification
17396,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
11658,0.95,1,Low Risk,Standard enrollment notification
17320,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
13847,1.0,1,Low Risk,Standard enrollment notification
11299,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
18654,0.91,1,Low Risk,Standard enrollment notification
12756,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
12210,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
10148,1.0,1,Low Risk,Standard enrollment notification
13664,0.86,1,Low Risk,Standard enrollment notification
15954,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
17790,1.0,1,Low Risk,Standard enrollment notification
10209,0.97,1,Low Risk,Standard enrollment notification
19041,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
10055,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
10356,1.0,1,Low Risk,Standard enrollment notification
14819,1.0,1,Low Risk,Standard enrollment notification
15620,0.99,1,Low Risk,Standard enrollment notification
18267,0.88,1,Low Risk,Standard enrollment notification
12589,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
19434,0.08,0,High Risk,Personalized phone call with HR and benefits explanation
18253,0.95,1,Low Risk,Standard enrollment notification
15991,0.78,1,Low Risk,Standard enrollment notification
17032,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
16120,1.0,1,Low Risk,Standard enrollment notification
17159,1.0,1,Low Risk,Standard enrollment notification
19755,0.98,1,Low Risk,Standard enrollment notification
14183,0.13,0,High Risk,Personalized phone call with HR and benefits explanation
11181,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
11755,0.97,1,Low Risk,Standard enrollment notification
13377,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
14703,1.0,1,Low Risk,Standard enrollment notification
12142,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
19267,1.0,1,Low Risk,Standard enrollment notification
15433,0.94,1,Low Risk,Standard enrollment notification
19393,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
13872,0.92,1,Low Risk,Standard enrollment notification
13975,0.12,0,High Risk,Personalized phone call with HR and benefits explanation
18674,0.93,1,Low Risk,Standard enrollment notification
17151,1.0,1,Low Risk,Standard enrollment notification
13937,0.98,1,Low Risk,Standard enrollment notification
15179,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
18367,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
11562,1.0,1,Low Risk,Standard enrollment notification
16987,1.0,1,Low Risk,Standard enrollment notification
16693,0.99,1,Low Risk,Standard enrollment notification
10118,0.94,1,Low Risk,Standard enrollment notification
17373,0.97,1,Low Risk,Standard enrollment notification
14252,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
10385,0.99,1,Low Risk,Standard enrollment notification
12456,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
19343,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
19626,1.0,1,Low Risk,Standard enrollment notification
12269,1.0,1,Low Risk,Standard enrollment notification
19867,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
13884,1.0,1,Low Risk,Standard enrollment notification
19669,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
12022,1.0,1,Low Risk,Standard enrollment notification
10976,0.96,1,Low Risk,Standard enrollment notification
16938,0.95,1,Low Risk,Standard enrollment notification
15358,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
15674,0.77,1,Low Risk,Standard enrollment notification
15732,0.98,1,Low Risk,Standard enrollment notification
17130,1.0,1,Low Risk,Standard enrollment notification
12659,0.97,1,Low Risk,Standard enrollment notification
16216,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
11783,0.98,1,Low Risk,Standard enrollment notification
15238,0.98,1,Low Risk,Standard enrollment notification
19908,0.92,1,Low Risk,Standard enrollment notification
13186,0.94,1,Low Risk,Standard enrollment notification
13537,0.93,1,Low Risk,Standard enrollment notification
10516,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
11749,0.97,1,Low Risk,Standard enrollment notification
17876,1.0,1,Low Risk,Standard enrollment notification
18729,1.0,1,Low Risk,Standard enrollment notification
15305,1.0,1,Low Risk,Standard enrollment notification
16776,0.99,1,Low Risk,Standard enrollment notification
11408,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
14491,0.98,1,Low Risk,Standard enrollment notification
12776,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
16839,0.97,1,Low Risk,Standard enrollment notification
10411,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
18134,0.99,1,Low Risk,Standard enrollment notification
16235,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
13258,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
13040,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
12726,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
19629,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
15776,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
19588,1.0,1,Low Risk,Standard enrollment notification
14338,0.99,1,Low Risk,Standard enrollment notification
16981,0.9,1,Low Risk,Standard enrollment notification
15502,0.89,1,Low Risk,Standard enrollment notification
15450,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
11097,1.0,1,Low Risk,Standard enrollment notification
16798,1.0,1,Low Risk,Standard enrollment notification
16687,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
13542,1.0,1,Low Risk,Standard enrollment notification
19896,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
14604,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
15491,0.93,1,Low Risk,Standard enrollment notification
13175,1.0,1,Low Risk,Standard enrollment notification
11155,0.14,0,High Risk,Personalized phone call with HR and benefits explanation
13853,1.0,1,Low Risk,Standard enrollment notification
18633,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
10523,1.0,1,Low Risk,Standard enrollment notification
10243,1.0,1,Low Risk,Standard enrollment notification
16452,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
19586,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
15015,0.98,1,Low Risk,Standard enrollment notification
13803,1.0,1,Low Risk,Standard enrollment notification
19466,0.98,1,Low Risk,Standard enrollment notification
12116,0.9,1,Low Risk,Standard enrollment notification
15380,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
15385,0.96,1,Low Risk,Standard enrollment notification
13303,0.09,0,High Risk,Personalized phone call with HR and benefits explanation
15905,1.0,1,Low Risk,Standard enrollment notification
12587,0.99,1,Low Risk,Standard enrollment notification
10326,1.0,1,Low Risk,Standard enrollment notification
17094,0.97,1,Low Risk,Standard enrollment notification
12563,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
14956,0.99,1,Low Risk,Standard enrollment notification
11597,0.86,1,Low Risk,Standard enrollment notification
11168,1.0,1,Low Risk,Standard enrollment notification
14340,0.98,1,Low Risk,Standard enrollment notification
19994,0.99,1,Low Risk,Standard enrollment notification
11872,1.0,1,Low Risk,Standard enrollment notification
18143,1.0,1,Low Risk,Standard enrollment notification
13675,0.96,1,Low Risk,Standard enrollment notification
13382,0.99,1,Low Risk,Standard enrollment notification
15722,0.99,1,Low Risk,Standard enrollment notification
11385,0.95,1,Low Risk,Standard enrollment notification
16027,0.88,1,Low Risk,Standard enrollment notification
15644,1.0,1,Low Risk,Standard enrollment notification
13827,1.0,1,Low Risk,Standard enrollment notification
11142,1.0,1,Low Risk,Standard enrollment notification
18972,0.92,1,Low Risk,Standard enrollment notification
14798,1.0,1,Low Risk,Standard enrollment notification
16989,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
14268,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
14215,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
15609,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
18222,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
12906,0.13,0,High Risk,Personalized phone call with HR and benefits explanation
11486,0.98,1,Low Risk,Standard enrollment notification
14279,1.0,1,Low Risk,Standard enrollment notification
13862,0.96,1,Low Risk,Standard enrollment notification
13994,0.97,1,Low Risk,Standard enrollment notification
15704,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
14469,1.0,1,Low Risk,Standard enrollment notification
10668,1.0,1,Low Risk,Standard enrollment notification
15324,0.93,1,Low Risk,Standard enrollment notification
18523,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
10664,0.99,1,Low Risk,Standard enrollment notification
11545,0.98,1,Low Risk,Standard enrollment notification
15276,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
13415,1.0,1,Low Risk,Standard enrollment notification
14212,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
15849,0.98,1,Low Risk,Standard enrollment notification
11842,1.0,1,Low Risk,Standard enrollment notification
15869,1.0,1,Low Risk,Standard enrollment notification
13868,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
10596,0.08,0,High Risk,Personalized phone call with HR and benefits explanation
12610,1.0,1,Low Risk,Standard enrollment notification
11792,1.0,1,Low Risk,Standard enrollment notification
19942,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
11058,0.97,1,Low Risk,Standard enrollment notification
18601,0.95,1,Low Risk,Standard enrollment notification
11911,0.98,1,Low Risk,Standard enrollment notification
13547,1.0,1,Low Risk,Standard enrollment notification
14355,1.0,1,Low Risk,Standard enrollment notification
16696,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
17359,0.87,1,Low Risk,Standard enrollment notification
16619,0.99,1,Low Risk,Standard enrollment notification
17583,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
18301,1.0,1,Low Risk,Standard enrollment notification
18547,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
12141,0.99,1,Low Risk,Standard enrollment notification
12884,0.92,1,Low Risk,Standard enrollment notification
13235,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
10514,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
19330,0.97,1,Low Risk,Standard enrollment notification
11143,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
12409,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
11180,0.08,0,High Risk,Personalized phone call with HR and benefits explanation
16644,0.86,1,Low Risk,Standard enrollment notification
15611,0.1,0,High Risk,Personalized phone call with HR and benefits explanation
13977,0.98,1,Low Risk,Standard enrollment notification
15853,0.99,1,Low Risk,Standard enrollment notification
13177,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
13211,0.09,0,High Risk,Personalized phone call with HR and benefits explanation
13165,0.98,1,Low Risk,Standard enrollment notification
10064,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
15413,0.98,1,Low Risk,Standard enrollment notification
11662,0.99,1,Low Risk,Standard enrollment notification
10222,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
16580,0.93,1,Low Risk,Standard enrollment notification
10577,1.0,1,Low Risk,Standard enrollment notification
10583,0.99,1,Low Risk,Standard enrollment notification
18373,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
10211,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
12524,0.09,0,High Risk,Personalized phone call with HR and benefits explanation
15771,0.99,1,Low Risk,Standard enrollment notification
17158,0.99,1,Low Risk,Standard enrollment notification
18826,0.98,1,Low Risk,Standard enrollment notification
16909,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
11392,0.98,1,Low Risk,Standard enrollment notification
10891,0.99,1,Low Risk,Standard enrollment notification
14857,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
17426,1.0,1,Low Risk,Standard enrollment notification
13911,1.0,1,Low Risk,Standard enrollment notification
17172,0.88,1,Low Risk,Standard enrollment notification
15768,0.98,1,Low Risk,Standard enrollment notification
12400,0.98,1,Low Risk,Standard enrollment notification
18185,1.0,1,Low Risk,Standard enrollment notification
19278,1.0,1,Low Risk,Standard enrollment notification
10805,0.99,1,Low Risk,Standard enrollment notification
11321,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
17328,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
12700,0.98,1,Low Risk,Standard enrollment notification
15472,0.98,1,Low Risk,Standard enrollment notification
17628,0.96,1,Low Risk,Standard enrollment notification
17694,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
12418,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
12774,0.09,0,High Risk,Personalized phone call with HR and benefits explanation
15813,0.93,1,Low Risk,Standard enrollment notification
16191,1.0,1,Low Risk,Standard enrollment notification
19279,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
17991,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
13893,0.08,0,High Risk,Personalized phone call with HR and benefits explanation
17003,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
17098,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
19930,0.09,0,High Risk,Personalized phone call with HR and benefits explanation
19410,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
16898,0.14,0,High Risk,Personalized phone call with HR and benefits explanation
19689,1.0,1,Low Risk,Standard enrollment notification
10325,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
12902,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
10276,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
11522,1.0,1,Low Risk,Standard enrollment notification
13655,0.11,0,High Risk,Personalized phone call with HR and benefits explanation
17964,1.0,1,Low Risk,Standard enrollment notification
17145,1.0,1,Low Risk,Standard enrollment notification
10150,1.0,1,Low Risk,Standard enrollment notification
19976,0.99,1,Low Risk,Standard enrollment notification
12857,1.0,1,Low Risk,Standard enrollment notification
10296,1.0,1,Low Risk,Standard enrollment notification
12832,0.96,1,Low Risk,Standard enrollment notification
19901,1.0,1,Low Risk,Standard enrollment notification
15908,0.11,0,High Risk,Personalized phone call with HR and benefits explanation
13146,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
11833,0.99,1,Low Risk,Standard enrollment notification
15622,0.96,1,Low Risk,Standard enrollment notification
19725,1.0,1,Low Risk,Standard enrollment notification
13908,1.0,1,Low Risk,Standard enrollment notification
16808,1.0,1,Low Risk,Standard enrollment notification
15569,1.0,1,Low Risk,Standard enrollment notification
11978,0.97,1,Low Risk,Standard enrollment notification
17364,1.0,1,Low Risk,Standard enrollment notification
16698,0.08,0,High Risk,Personalized phone call with HR and benefits explanation
15418,1.0,1,Low Risk,Standard enrollment notification
18577,1.0,1,Low Risk,Standard enrollment notification
12929,1.0,1,Low Risk,Standard enrollment notification
15519,1.0,1,Low Risk,Standard enrollment notification
17960,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
13029,0.94,1,Low Risk,Standard enrollment notification
10048,0.11,0,High Risk,Personalized phone call with HR and benefits explanation
16476,0.96,1,Low Risk,Standard enrollment notification
11967,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
10180,1.0,1,Low Risk,Standard enrollment notification
16095,0.99,1,Low Risk,Standard enrollment notification
15740,0.99,1,Low Risk,Standard enrollment notification
12951,0.88,1,Low Risk,Standard enrollment notification
19427,0.69,1,Low Risk,Standard enrollment notification
18422,0.98,1,Low Risk,Standard enrollment notification
17934,0.99,1,Low Risk,Standard enrollment notification
19260,1.0,1,Low Risk,Standard enrollment notification
19969,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
12521,0.12,0,High Risk,Personalized phone call with HR and benefits explanation
15933,0.94,1,Low Risk,Standard enrollment notification
14800,1.0,1,Low Risk,Standard enrollment notification
14474,0.09,0,High Risk,Personalized phone call with HR and benefits explanation
16683,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
12632,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
13978,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
18058,0.97,1,Low Risk,Standard enrollment notification
19812,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
16501,0.88,1,Low Risk,Standard enrollment notification
12927,0.15,0,High Risk,Personalized phone call with HR and benefits explanation
10223,1.0,1,Low Risk,Standard enrollment notification
11544,1.0,1,Low Risk,Standard enrollment notification
17395,0.99,1,Low Risk,Standard enrollment notification
14953,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
18603,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
10163,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
14899,0.99,1,Low Risk,Standard enrollment notification
16834,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
12681,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
16104,1.0,1,Low Risk,Standard enrollment notification
15301,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
14712,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
16922,0.99,1,Low Risk,Standard enrollment notification
16110,1.0,1,Low Risk,Standard enrollment notification
12555,1.0,1,Low Risk,Standard enrollment notification
13215,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
12351,0.99,1,Low Risk,Standard enrollment notification
15376,0.09,0,High Risk,Personalized phone call with HR and benefits explanation
14716,1.0,1,Low Risk,Standard enrollment notification
19011,0.96,1,Low Risk,Standard enrollment notification
15117,0.08,0,High Risk,Personalized phone call with HR and benefits explanation
18056,0.94,1,Low Risk,Standard enrollment notification
12600,0.98,1,Low Risk,Standard enrollment notification
16036,1.0,1,Low Risk,Standard enrollment notification
10995,1.0,1,Low Risk,Standard enrollment notification
13325,1.0,1,Low Risk,Standard enrollment notification
19745,1.0,1,Low Risk,Standard enrollment notification
14284,0.99,1,Low Risk,Standard enrollment notification
12560,1.0,1,Low Risk,Standard enrollment notification
16369,1.0,1,Low Risk,Standard enrollment notification
13034,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
18799,0.89,1,Low Risk,Standard enrollment notification
13058,0.99,1,Low Risk,Standard enrollment notification
15767,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
15580,0.98,1,Low Risk,Standard enrollment notification
17812,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
11674,0.84,1,Low Risk,Standard enrollment notification
13683,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
17385,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
10047,1.0,1,Low Risk,Standard enrollment notification
15645,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
19936,0.98,1,Low Risk,Standard enrollment notification
15605,0.98,1,Low Risk,Standard enrollment notification
16382,0.99,1,Low Risk,Standard enrollment notification
13020,0.99,1,Low Risk,Standard enrollment notification
12093,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
11742,1.0,1,Low Risk,Standard enrollment notification
10393,1.0,1,Low Risk,Standard enrollment notification
11724,0.98,1,Low Risk,Standard enrollment notification
18639,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
12388,1.0,1,Low Risk,Standard enrollment notification
15812,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
18905,1.0,1,Low Risk,Standard enrollment notification
19978,1.0,1,Low Risk,Standard enrollment notification
17797,1.0,1,Low Risk,Standard enrollment notification
15234,1.0,1,Low Risk,Standard enrollment notification
13923,0.98,1,Low Risk,Standard enrollment notification
19603,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
17454,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
18929,1.0,1,Low Risk,Standard enrollment notification
10117,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
18370,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
12067,0.97,1,Low Risk,Standard enrollment notification
10616,0.92,1,Low Risk,Standard enrollment notification
18181,1.0,1,Low Risk,Standard enrollment notification
11726,0.08,0,High Risk,Personalized phone call with HR and benefits explanation
12394,0.08,0,High Risk,Personalized phone call with HR and benefits explanation
10876,1.0,1,Low Risk,Standard enrollment notification
16177,0.97,1,Low Risk,Standard enrollment notification
14735,1.0,1,Low Risk,Standard enrollment notification
14804,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
14570,0.99,1,Low Risk,Standard enrollment notification
14817,1.0,1,Low Risk,Standard enrollment notification
17881,1.0,1,Low Risk,Standard enrollment notification
19857,1.0,1,Low Risk,Standard enrollment notification
14365,1.0,1,Low Risk,Standard enrollment notification
13127,0.99,1,Low Risk,Standard enrollment notification
13172,0.98,1,Low Risk,Standard enrollment notification
10719,0.98,1,Low Risk,Standard enrollment notification
16435,1.0,1,Low Risk,Standard enrollment notification
11166,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
12144,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
